Idade,Saida,FrequenciaViagem,TaxaDiaria,Departamento,DistanciaCasa,Escolaridade,AreaFormacao,SatisfacaoAmbiente,Genero,TaxaHora,EnvolvimentoCargo,NivelCargo,Cargo,SatisfacaoCargo,EstadoCivil,RendimentoMensal,TaxaMensal,NumEmpresasAnteriores,HorasExtra,PercentAumentoSalarial,AvaliacaoDesempenho,SatisfacaoRelacionamento,NivelOpcaoAccoes,AnosExperienciaTotal,FormacaoUltimoAno,EquilibrioVidaTrabalho,AnosNaEmpresa,AnosNoCargoActual,AnosDesdeUltimaPromocao,AnosComGestorActual,SatisfacaoAmbiente_Texto,SatisfacaoCargo_Texto,EnvolvimentoCargo_Texto,SatisfacaoRelacionamento_Texto,EquilibrioVidaTrabalho_Texto,AvaliacaoDesempenho_Texto,Escolaridade_Texto,RendimentoMensal_Log,FaixaEtaria,FaixaSalarial,FaixaDistancia,FaixaAntiguidade,SalarioPorNivel,EstagnacaoRelativa,ProporcaoCarreiraEmpresa,SatisfacaoMedia,PressaoTrabalho,RiscoSaida_Prob,RiscoSaida_Classe
41,1,Viaja Raramente,1102,Vendas,1,2,Ciencias da Vida,2,Feminino,94,3,2,Executivo de Vendas,4,Solteiro(a),5993,19479,8,Sim,11,3,1,0,8,0,1,6,4,0,5,Medio,Muito Alto,Alto,Baixo,Mau,Excelente,Licenciatura,8.698514,36-45,3k-6k,Perto (0-5),6-10 anos,2996.5,0.0,0.75,2.3333333,4,96.9,Alto
49,0,Viaja Frequentemente,279,Investigacao e Desenvolvimento,8,1,Ciencias da Vida,3,Masculino,61,2,2,Investigador,2,Casado(a),5130,24907,1,Nao,23,4,4,1,10,3,3,10,7,1,7,Alto,Medio,Medio,Muito Alto,Bom,Excecional,Abaixo da Licenciatura,8.543056,46-55,3k-6k,Medio (6-10),6-10 anos,2565.0,0.020408163,1.0,3.0,0,5.5,Medio
37,1,Viaja Raramente,1373,Investigacao e Desenvolvimento,2,2,Outro,4,Masculino,92,2,1,Tecnico de Laboratorio,3,Solteiro(a),2090,2396,6,Sim,15,3,2,0,7,3,3,0,0,0,0,Muito Alto,Alto,Medio,Medio,Bom,Excelente,Licenciatura,7.6453977,36-45,Ate 3k,Perto (0-5),0-2 anos,2090.0,0.0,0.0,3.0,2,97.0,Alto
33,0,Viaja Frequentemente,1392,Investigacao e Desenvolvimento,3,4,Ciencias da Vida,4,Feminino,56,3,1,Investigador,3,Casado(a),2909,23159,1,Sim,11,3,3,0,8,3,3,8,7,3,0,Muito Alto,Alto,Alto,Alto,Bom,Excelente,Doutoramento,7.9759083,26-35,Ate 3k,Perto (0-5),6-10 anos,2909.0,0.09090909,1.0,3.3333333,2,48.7,Alto
27,0,Viaja Raramente,591,Investigacao e Desenvolvimento,2,1,Medicina,1,Masculino,40,3,1,Tecnico de Laboratorio,2,Casado(a),3468,16632,9,Nao,12,3,4,1,6,3,3,2,2,2,2,Baixo,Medio,Alto,Muito Alto,Bom,Excelente,Abaixo da Licenciatura,8.151622,26-35,3k-6k,Perto (0-5),0-2 anos,3468.0,0.074074075,0.33333334,2.3333333,0,34.0,Alto
32,0,Viaja Frequentemente,1005,Investigacao e Desenvolvimento,2,2,Ciencias da Vida,4,Masculino,79,3,1,Tecnico de Laboratorio,4,Solteiro(a),3068,11864,0,Nao,13,3,3,0,8,2,2,7,7,3,6,Muito Alto,Muito Alto,Alto,Alto,Regular,Excelente,Licenciatura,8.029107,26-35,3k-6k,Perto (0-5),6-10 anos,3068.0,0.09375,0.875,3.6666667,0,5.9,Medio
59,0,Viaja Raramente,1324,Investigacao e Desenvolvimento,3,3,Medicina,3,Feminino,81,4,1,Tecnico de Laboratorio,1,Casado(a),2670,9964,4,Sim,20,4,1,3,12,3,2,1,0,0,0,Alto,Baixo,Muito Alto,Baixo,Regular,Excecional,Mestrado,7.8902082,56-65,Ate 3k,Perto (0-5),0-2 anos,2670.0,0.0,0.083333336,1.6666666,3,11.4,Medio
30,0,Viaja Raramente,1358,Investigacao e Desenvolvimento,24,1,Ciencias da Vida,4,Masculino,67,3,1,Tecnico de Laboratorio,3,Divorciado(a),2693,13335,1,Nao,22,4,2,1,1,2,3,1,0,0,0,Muito Alto,Alto,Alto,Medio,Bom,Excecional,Abaixo da Licenciatura,7.8987823,26-35,Ate 3k,Muito Longe (21+),0-2 anos,2693.0,0.0,1.0,3.0,0,31.5,Alto
38,0,Viaja Frequentemente,216,Investigacao e Desenvolvimento,23,3,Ciencias da Vida,4,Masculino,44,2,3,Director de Producao,3,Solteiro(a),9526,8787,0,Nao,21,4,2,0,10,2,3,9,7,1,8,Muito Alto,Alto,Medio,Medio,Bom,Excecional,Mestrado,9.161885,36-45,6k-10k,Muito Longe (21+),6-10 anos,3175.3333,0.02631579,0.9,3.0,0,11.0,Medio
36,0,Viaja Raramente,1299,Investigacao e Desenvolvimento,27,3,Medicina,3,Masculino,94,3,2,Representante de Saude,3,Casado(a),5237,16577,6,Nao,13,3,2,2,17,3,2,7,7,7,7,Alto,Alto,Alto,Medio,Regular,Excelente,Mestrado,8.563695,36-45,3k-6k,Muito Longe (21+),6-10 anos,2618.5,0.19444445,0.4117647,2.6666667,0,1.7,Baixo
