Feature;Importancia;Importancia_Pct
NivelOpcaoAccoes;0.09685028;9.69
PressaoTrabalho;0.0571364;5.71
EnvolvimentoCargo;0.056858707;5.69
AvaliacaoDesempenho;0.050443906;5.04
SatisfacaoAmbiente;0.043738794;4.37
SatisfacaoCargo;0.04149939;4.15
EquilibrioVidaTrabalho;0.036784578;3.68
HorasExtra;0.03023027;3.02
RendimentoMensal;0.02992217;2.99
NivelCargo;0.029859796;2.99
AnosComGestorActual;0.029757783;2.98
AnosDesdeUltimaPromocao;0.029049618;2.9
FrequenciaViagem;0.029022388;2.9
Escolaridade;0.028900944;2.89
AreaFormacao;0.028751282;2.88
SatisfacaoRelacionamento;0.028644877;2.86
FormacaoUltimoAno;0.02831757;2.83
AnosNoCargoActual;0.026483538;2.65
EstagnacaoRelativa;0.025765467;2.58
SatisfacaoMedia;0.02531197;2.53
AnosExperienciaTotal;0.024321685;2.43
AnosNaEmpresa;0.023671681;2.37
Departamento;0.02180331;2.18
EstadoCivil;0.02168312;2.17
SalarioPorNivel;0.021624802;2.16
NumEmpresasAnteriores;0.021584786;2.16
ProporcaoCarreiraEmpresa;0.020191684;2.02
Idade;0.020064304;2.01
Cargo;0.019801749;1.98
DistanciaCasa;0.017668175;1.77
Genero;0.017567107;1.76
PercentAumentoSalarial;0.016687796;1.67
